ms,GPStime,lat,lon,yaw,pitch,roll
4700,234456.00,40.09513855,-88.23925781,-11.870229,0.969466,-0.450382
4800,234456.00,40.09513855,-88.23925781,-12.152672,0.870229,-0.893130
4900,234456.00,40.09513855,-88.23927307,-12.312977,1.519084,-1.832061
5000,234456.00,40.09513855,-88.23927307,-14.274809,1.755725,-1.328244
5100,234456.00,40.09513855,-88.23927307,-17.038168,1.190840,-1.671756
5200,234456.00,40.09513855,-88.23927307,-20.076336,0.854962,-2.503817
5300,234456.00,40.09513855,-88.23927307,-24.351145,0.931298,-2.526718
5400,234456.00,40.09513855,-88.23927307,-28.969465,0.152672,-2.748092
5500,234456.00,40.09513855,-88.23927307,-32.274811,2.648855,-1.068702
5600,234456.00,40.09513855,-88.23927307,-35.427483,1.274809,-2.595420
5700,234457.00,40.09513855,-88.23927307,-37.229008,3.809160,-1.114504
5800,234457.00,40.09513474,-88.23930359,-38.137405,1.961832,-1.160305
5900,234457.00,40.09513474,-88.23930359,-39.145039,2.366412,-2.961832
6000,234457.00,40.09513474,-88.23930359,-40.190838,2.763359,-1.496183
6100,234457.00,40.09513474,-88.23930359,-37.022900,1.938931,-1.152672
6200,234457.00,40.09513474,-88.23930359,-31.190840,2.473282,2.832061
6300,234457.00,40.09513474,-88.23930359,-24.297710,2.473282,2.152672
6400,234457.00,40.09513474,-88.23930359,-16.610687,1.358779,1.534351
6500,234457.00,40.09513474,-88.23930359,-7.244275,1.419847,2.832061
6600,234457.00,40.09513474,-88.23930359,0.648855,2.931298,2.206107
6700,234458.00,40.09513474,-88.23930359,6.816794,1.656489,-0.320611
6800,234458.00,40.09511948,-88.23935699,12.625955,2.549618,1.435115
6900,234458.00,40.09511948,-88.23935699,16.488550,-0.305344,0.557252
7000,234458.00,40.09511948,-88.23935699,19.679390,-0.969466,1.183206
7100,234458.00,40.09511948,-88.23935699,22.709923,-0.870229,0.977099
7200,234458.00,40.09511948,-88.23935699,-27.877863,-1.809160,-0.618321
7300,234458.00,40.09511948,-88.23935699,-30.656488,-0.091603,1.045802
7400,234458.00,40.09511948,-88.23935699,-30.839695,-0.465649,-0.854962
7500,234458.00,40.09511948,-88.23935699,-27.862595,1.404580,-0.633588
7600,234458.00,40.09511948,-88.23935699,-25.755726,-1.030534,-0.916031
7700,234459.00,40.09511948,-88.23935699,-23.862595,0.053435,0.885496
7800,234459.00,40.09510803,-88.23941803,-24.427481,-0.541985,0.580153
7900,234459.00,40.09510803,-88.23941803,-22.725191,-1.847328,-1.473282
8000,234459.00,40.09510803,-88.23941803,-16.984734,0.076336,-2.290076
8100,234459.00,40.09510803,-88.23941803,-10.167939,-0.877863,-1.404580
8200,234459.00,40.09510803,-88.23941803,-3.778626,1.717557,-4.488550
8300,234459.00,40.09510803,-88.23941803,2.832061,1.206107,-3.732824
8400,234459.00,40.09510803,-88.23941803,10.297709,-0.603053,-2.847328
8500,234459.00,40.09510803,-88.23941803,17.946566,0.618321,-2.908397
8600,234500.00,40.09510803,-88.23941803,24.679390,2.106870,-3.503817
8700,234500.00,40.09513855,-88.23947144,30.603054,2.977099,-3.267176
8800,234500.00,40.09513855,-88.23947144,35.702290,3.458015,-3.893130
8900,234500.00,40.09513855,-88.23947144,39.793892,3.816794,-3.931298
9000,234500.00,40.09513855,-88.23947144,42.374046,4.175572,-2.068702
9100,234500.00,40.09513855,-88.23947144,43.916031,2.198473,-1.328244
9200,234500.00,40.09513855,-88.23947144,43.923664,1.961832,-3.717557
9300,234500.00,40.09513855,-88.23947144,44.648853,3.083969,-0.870229
9400,234500.00,40.09513855,-88.23947144,44.251907,4.198473,-3.190840
9500,234500.00,40.09513855,-88.23947144,45.969467,1.641221,-3.687023
