ms,lon,lat,yaw,pitch,roll
25700,-88.2409456471254,40.096215016559896,-18.977098,15.236641,-10.435115
25800,-88.2409461544172,40.0962218722658,-5.496183,-14.160305,10.389313
25900,-88.24094752488284,40.09622848804355,-1.862595,-6.160306,14.763359
26000,-88.2409488953485,40.0962351038213,-4.137404,-1.122137,-15.839695
26100,-88.24095018204575,40.0962420858185,-15.809160,-25.167938,-3.580153
26200,-88.240951468743,40.0962490678157,1.099237,5.068702,33.450382
26300,-88.2409519838483,40.09625602170555,1.122137,-5.633588,-3.580153
26400,-88.2409524989536,40.0962629755954,5.129771,24.312977,5.259542
26500,-88.2409532811408,40.096269687184446,3.885496,-7.320611,5.908397
26600,-88.240954063328,40.0962763987735,8.000000,-16.633587,-9.893129
26700,-88.24095396291345,40.096282992904904,3.931298,-6.267176,-12.984733
26800,-88.2409538624989,40.0962895870363,6.358778,-0.801527,-21.755726
26900,-88.24094992132726,40.09629398653915,0.030534,-9.030535,-5.351145
27000,-88.2409459801556,40.09629838604201,-1.022901,-7.496183,-0.717557
27100,-88.24094203898395,40.09630278554486,3.748092,9.511451,-12.847328
27200,-88.24093415664063,40.096311584550556,-3.648855,-16.374046,-20.038168
27300,-88.24093021546899,40.096315984053405,1.900763,10.580153,-6.748092
27400,-88.24092627429735,40.096320383556254,-2.183206,0.244275,-25.557251
27500,-88.2409223331257,40.0963247830591,0.717557,8.984733,-11.526717
27600,-88.24091560771785,40.0963276365993,-1.648855,0.610687,-14.786260
27700,-88.24090888231,40.0963304901395,-6.709924,7.251908,-2.587786
27800,-88.24090529306889,40.09633205829978,-9.641221,-15.587787,-2.282443
27900,-88.2409017038278,40.09633362646005,-7.267176,-14.938931,-16.412214
28000,-88.2408981145867,40.09633519462032,-12.290076,-25.015266,-32.343510
28100,-88.2408945253456,40.0963367627806,-9.137404,18.038168,-32.152672
28200,-88.24089097970322,40.09633846109973,-7.702290,-18.305344,0.343511
28300,-88.24088743406085,40.09634015941885,1.290076,1.358779,-12.190840
28400,-88.24088388841847,40.096341857737976,-12.496183,-12.320611,-36.824429
28500,-88.2408803427761,40.0963435560571,-13.671756,-30.030535,-11.251908
28600,-88.24087663212586,40.09634547205225,-4.694656,-5.053435,-5.946565
28700,-88.24087292147564,40.0963473880474,-12.465649,-27.312977,-17.793894
28800,-88.24086921082542,40.09634930404255,-17.664122,-20.106871,-27.977098
28900,-88.2408655001752,40.0963512200377,-8.557252,10.931297,-5.534351
29000,-88.24086184971873,40.096353085530225,-5.206107,-18.343512,4.389313
29100,-88.24085819926225,40.09635495102275,6.068702,19.816793,-13.213740
29200,-88.24085454880577,40.096356816515275,-2.793893,7.847328,-18.519083
29300,-88.2408508983493,40.0963586820078,-9.122137,5.229008,-15.404580
29400,-88.2408446659383,40.0963626001977,-2.870229,-20.442749,-19.885496
29500,-88.2408384335273,40.0963665183876,-3.580153,-2.068702,-12.419847
